Catalog Number,Year,Day of Year,Inclination (rad),Omega (rad),Eccentricity,Argument of Perigee (rad),Mean Anomaly (rad),Mean Motion (rev/day),Orbital Period (s),Semi-major axis (km),Julian Date,Inclination (rad) (sin),Inclination (rad) (cos),Omega (rad) (sin),Omega (rad) (cos),Argument of Perigee (rad) (sin),Argument of Perigee (rad) (cos),Mean Anomaly (rad) (sin),Mean Anomaly (rad) (cos),Delta Julian Date,Delta Inclination (rad),Delta Omega (rad),Delta Eccentricity,Delta Argument of Perigee (rad),Delta Mean Anomaly (rad),Delta Mean Motion (rev/day),Delta Orbital Period (s),Delta Semi-major axis (km),Maneuver
26997,2001,364.92714807,1.152690487174891,5.775942012001726,0.0008122,4.580288499959742,1.703062613498783,12.80259637,6748.631098177783,7718.560485326183,2555.92714807,0.9138596655355284,0.4060301857095012,-0.4857694960062708,0.8740869503372154,-0.9912874125423731,-0.13171661146205932,0.9912655594751532,-0.1318809713279806,0.9374016900001152,1.7453292520119845e-06,-0.03392920065877014,-2.39999999999995e-06,-0.00112050137978148,0.0011274826967884177,6.900000002474371e-07,-0.00036371963778947247,-0.00027732952548831236,0
26997,2001,365.00526484,1.152690487174891,5.773114578613495,0.0008123,4.57914879995819,1.7041988228418312,12.80259638,6748.631092906484,7718.560481306914,2556.00526484,0.9138596655355284,0.4060301857095012,-0.48823897362938495,0.8727099773861444,-0.9911366513530666,-0.132846295938689,0.9911150752677916,-0.1330071711484747,0.0781167700001788,0.0,-0.002827433388230993,9.999999999994822e-08,-0.0011397000015520575,0.0011362093430482556,1.000000082740371e-08,-5.271299414744135e-06,-4.019268999400083e-06,0
26997,2001,365.94266613,1.1526922325041429,5.73918886861323,0.0008076,4.5812117791340485,1.7021480609707378,12.80259756,6748.630470893283,7718.56000703329,2556.94266613,0.9138603741904968,0.4060285907228765,-0.5175596568200604,0.8556471244808231,-0.9914086012206799,-0.13080132042779616,0.991385756983705,-0.13097435187793896,0.9374012899997979,1.74532925178994e-06,-0.033925710000265674,-4.699999999999952e-06,0.0020629791758581817,-0.0020507618710934317,1.1799999999340116e-06,-0.0006220132008820656,-0.00047427362369489856,0
26997,2002,1.95818437,1.1526922325041429,5.70243397989548,0.0008043,4.569741475289941,1.7136305821196085,12.80259807,6748.630202057105,7718.559802050644,2557.9581843700003,0.9138603741904968,0.4060285907228765,-0.5486522392660187,0.8360506685293562,-0.9898430851871061,-0.14216422442819962,0.9898165187249462,-0.14234907537187663,1.0155182400003469,0.0,-0.036754888717749346,-3.300000000000026e-06,-0.011470303844107299,0.011482521148870717,5.099999995650251e-07,-0.000268836178292986,-0.0002049826462098281,0
26997,2002,2.97370231,1.152693977833395,5.665682581836236,0.0007991,4.574638869171038,1.7087349335677646,12.80259911,6748.629653842219,7718.559384046861,2558.97370231,0.9138610828426814,0.4060269957350148,-0.5790008728291467,0.8153269217087623,-0.9905274462012059,-0.13731488747443665,0.9905015453578507,-0.1375015950587827,1.0155179399998815,1.7453292520119845e-06,-0.03675139805924399,-5.200000000000018e-06,0.004897393881096335,-0.004895648551843879,1.0399999990085007e-06,-0.0005482148853843682,-0.00041800378312473185,0
26997,2002,3.98922059,1.152693977833395,5.6289242024599835,0.0007971,4.569268491062651,1.714110547663907,12.80259943,6748.629485160733,7718.559255430322,2559.98922059,0.9138610828426814,0.4060269957350148,-0.6085730977213508,0.7934978164619227,-0.9897757330328586,-0.1426323886754599,0.9897480820656371,-0.14282413678154265,1.0155182799999238,0.0,-0.036758379376252925,-1.99999999999994e-06,-0.0053703781083864754,0.005375614096142289,3.2000000160792297e-07,-0.00016868148668436334,-0.00012861653885920532,0
26997,2002,4.22357102,1.152693977833395,5.620441902295291,0.0007967,4.570155118322663,1.713223920403894,12.8025995,6748.62944826166,7718.559227295456,2560.2235710200002,0.9138610828426814,0.4060269957350148,-0.6152818105611573,0.7883072329952227,-0.9899018057450151,-0.14175477058201078,0.9898743247977376,-0.14194654312882357,0.23435043000017686,0.0,-0.008482300164692091,-4.000000000000097e-07,0.0008866272600123182,-0.0008866272600129843,6.999999868639861e-08,-3.68990722563467e-05,-2.8134865715401247e-05,0
26997,2002,4.92662176,1.1526922325041429,5.594988020484206,0.0007917,4.558571368077177,1.7248006893323722,12.80259967,6748.629358649625,7718.559158967923,2560.9266217599998,0.9138603741904968,0.4060285907228765,-0.635145813221531,0.7723922552350975,-0.9881933772210107,-0.1532117789745067,0.9881647476542782,-0.1533963216421979,0.7030507399995258,-1.7453292520119845e-06,-0.02545388181108521,-5.000000000000013e-06,-0.01158375024548608,0.011576768928478254,1.6999999985500835e-07,-8.961203548096819e-05,-6.832753297203453e-05,0
26997,2002,5.94214022,1.152693977833395,5.558236622424961,0.0007901,4.546818320894248,1.736581661783334,12.80259995,6748.629211053338,7718.559046428461,2561.94214022,0.9138610828426814,0.4060269957350148,-0.6630970323587633,0.7485334499386125,-0.9863244625852521,-0.16481521321138304,0.9862890580698883,-0.16502694910714602,1.015518460000294,1.7453292520119845e-06,-0.03675139805924488,-1.6000000000000389e-06,-0.011753047182929244,0.01178097245096188,2.8000000007466497e-07,-0.0001475962872063974,-0.00011253946195211029,0
26997,2002,6.95765847,1.152693977833395,5.521479988377961,0.0007862,4.5456908381974594,1.7377196164556339,12.80260038,6748.628984387624,7718.558873600009,2562.95765847,0.9138610828426814,0.4060269957350148,-0.6901565192584627,0.7236601266651653,-0.9861380094072997,-0.1659271719827964,0.9861006263297067,-0.1661491942567287,1.0155182499997863,0.0,-0.03675663404700025,-3.899999999999932e-06,-0.0011274826967886398,0.0011379546722998235,4.3000000005122274e-07,-0.0002266657138534356,-0.00017282845237787114,0
